entity_name,purchase_count_12mo,example_property,example_price,example_sale_date,mailing_address,mailing_city_state_zip,sunbiz_search_url
NATIONAL CASH DEALS LLC,3,"8260 SW 133 ST, 33156",1260000,2026-03-25,7395 SW 40 ST,"MIAMI, FL 33155",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=NATIONAL%20CASH%20DEALS%20LLC
PATRIMOINE SUB A LLC,3,"1070 NW 44 ST, 33127",320000,2026-02-27,1035 N MIAMI AVE 400-3C,"MIAMI, FL 33136",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=PATRIMOINE%20SUB%20A%20LLC
PM2 GROUP LLC,3,"15300 NW RAILROAD DR, 33054",278000,2026-05-12,6505 SW 131 ST,"PINECREST, FL 33156",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=PM2%20GROUP%20LLC
PYTHON HOME RENOVATIONS LLC,3,"2534 NW 51 TER, 33142",265000,2026-04-17,916 S 24 AVE,"FORT LAUDERDALE, FL 33312",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=PYTHON%20HOME%20RENOVATIONS%20LLC
QUICKER FLIPS III LLC,3,"10420 SW 64 ST, 33173",2500000,2025-10-24,1200 BRICKELL AVE 1950,"MIAMI, FL 33131",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=QUICKER%20FLIPS%20III%20LLC
R M A PROFESSIONAL GROUP CORP,3,"10945 SW 218 TER, 33170",293000,2026-04-14,2545 W 80 ST BLDG 5,"HIALEAH, FL 33016",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=R%20M%20A%20PROFESSIONAL%20GROUP%20CORP
RED WHITE AND FLIP LLC,3,"1679 NE 181 ST, 33162",427500,2026-02-13,8625 NW 54 ST,"DORAL, FL 33166",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=RED%20WHITE%20AND%20FLIP%20LLC
RM PRIME PROPERTY LLC,3,"10200 NW 21 CT, 33147",350000,2026-01-13,13727 SW 152 ST PMB 112,"MIAMI, FL 33177",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=RM%20PRIME%20PROPERTY%20LLC
WE BUY HOUSES LLC,3,"751 ORIOLE AVE, 33166",600000,2025-09-18,8200 NW 41 ST 280,"DORAL, FL 33166",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=WE%20BUY%20HOUSES%20LLC
101 HAMPTON LLC,2,"1220 NE 206 ST, 33179",408000,2025-12-31,6961 INDIAN CREEK DR,"MIAMI BEACH, FL 33141",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=101%20HAMPTON%20LLC
1201 OPA LOCKA BLVD LLC,2,"770 NW 124 ST, 33168",255000,2025-11-14,12482 TANGARINE BLVD,"WEST PALM BEACH, FL 33412",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=1201%20OPA%20LOCKA%20BLVD%20LLC
305 DEVELOPMENT GROUP LLC,2,"9200 SW 70 AVE, 33156",1820000,2026-05-14,9200 SW 70 AVE,"PINECREST, FL 33156",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=305%20DEVELOPMENT%20GROUP%20LLC
3339 SUNSET LLC,2,"1839 W 24 ST, 33140",17695800,2026-01-14,1759 PURDY AVE 500,"MIAMI BEACH, FL 33139",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=3339%20SUNSET%20LLC
