entity_name,purchase_count_12mo,example_property,example_price,example_sale_date,mailing_address,mailing_city_state_zip,sunbiz_search_url
PRIMO INVESTMENT GROUP LLC,2,"18425 NW 23 AVE, 33056",375000,2026-04-06,1430 SOUTH DIXIE HWY 309,"CORAL GABLES, FL 33146",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=PRIMO%20INVESTMENT%20GROUP%20LLC
QI MANAGEMENT LLC TRS,2,"15153 NW 89 PL, 33018",550000,2026-03-26,15153 NW 89 PL,"MIAMI, FL 33018",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=QI%20MANAGEMENT%20LLC%20TRS
QST INVESTMENTS LLC,2,"6339 SW 32 ST, 33155",625000,2026-01-13,8520 NW 27 ST 302,"DORAL, FL 33122",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=QST%20INVESTMENTS%20LLC
QUICKER FLIPS LLC,2,"1230 PIZARRO ST, 33134",850000,2025-09-23,1200 BRICKELL AVE 1950,"MIAMI, FL 33131",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=QUICKER%20FLIPS%20LLC
R AND A FIRST INVESTMENT LLC,2,"1005 NE 13 AVE, 33033",420000,2025-12-11,4180 NE 16 ST,"HOMESTEAD, FL 33033",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=R%20AND%20A%20FIRST%20INVESTMENT%20LLC
RAFI A&L HOME DEVELOPERS LLC,2,"8660 SW 125 TER, 33156",575000,2026-04-08,11355 SW 97 AVE,"MIAMI, FL 33176",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=RAFI%20A%26L%20HOME%20DEVELOPERS%20LLC
REAL FAMILY PROPERTY CORP,2,"721 ATLANTIC AVE, 33054",390000,2026-05-05,2941 NW 213 ST,"MIAMI GARDENS, FL 33056",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=REAL%20FAMILY%20PROPERTY%20CORP
RENEWED MANAGEMENT INC TRS,2,"5020 NW 182 ST, 33055",412000,2026-04-17,7154 LAUREL LN,"MIAMI LAKES, FL 33014",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=RENEWED%20MANAGEMENT%20INC%20TRS
ROME 2 INC,2,"3535 NW 82 ST, 33147",500000,2026-03-31,16 BAHAMA RD,"KEY LARGO, FL 33037",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ROME%202%20INC
RPR SERVICE GROUP INC,2,"1055 NW 143 ST, 33168",362000,2026-03-30,2249 NW 81 ST,"MIAMI, FL 33147",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=RPR%20SERVICE%20GROUP%20INC
SHARON CAPITAL HOLDINGS LLC,2,"3685 SW 1 AVE, 33145",950000,2026-01-30,3685 SW 1 AVE,"MIAMI, FL 33145",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=SHARON%20CAPITAL%20HOLDINGS%20LLC
SRJ GROUP INVESTMENTS LLC,2,"12370 SW 190 TER, 33177",443000,2026-03-25,14100 SW 111 ST,"MIAMI, FL 33186",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=SRJ%20GROUP%20INVESTMENTS%20LLC
STIRRUP PROPERTIES INC,2,"106 FLORIDA AVE, 33133",1170000,2025-07-15,3619 PERCIVAL AVE,"MIAMI, FL 33133",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=STIRRUP%20PROPERTIES%20INC
SUITE HOMES RENOVATION LLC,2,"5190 E 8 LN, 33013",455000,2026-05-15,12300 SW 117 CT,"MIAMI, FL 33186",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=SUITE%20HOMES%20RENOVATION%20LLC
SUNY COMFORT HOME LLC,2,"133 W 43 ST, 33012",460000,2026-02-13,330 W 43 ST,"HIALEAH, FL 33012",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=SUNY%20COMFORT%20HOME%20LLC
TASSEN PROPERTIES INC,2,"4134 VENTURA AVE, 33133",1505000,2026-05-18,1010 BRICKELL AVE 2402,"MIAMI, FL 33131",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TASSEN%20PROPERTIES%20INC
TERRAINS TRUST LLC,2,"20352 NW 39 CT, 33055",376000,2026-02-24,2525 W FRYE RD STE 300,"CHANDLER, AZ 85224",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TERRAINS%20TRUST%20LLC
TOWERS PROPERTIES LLC,2,"570 NW 185 ST, 33169",350600,2026-01-16,9700 SW 112 ST,"MIAMI, FL 33176",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TOWERS%20PROPERTIES%20LLC
TRANSPORT BY YAYA INC,2,"416 NW 20 AVE, 33125",250100,2026-04-23,13720 SW 112 CT,"MIAMI, FL 33176",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TRANSPORT%20BY%20YAYA%20INC
TUBITO ASSET 4765 LLC,2,"8841 NW 14 AVE, 33147",388000,2026-01-06,4280 SW 109 AVE,"DAVIE, FL 33328",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TUBITO%20ASSET%204765%20LLC
UNLIMIT INVESTMENTS LLC,2,"17330 NW 46 AVE, 33055",395000,2026-03-17,15259 SW 23 LN,"MIAMI, FL 33158",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=UNLIMIT%20INVESTMENTS%20LLC
URPI HOMES LLC,2,"2440 N SHORE TER, 33141",7250000,2025-12-05,2045 BISCAYNE BLVD 370,"MIAMI, FL 33137",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=URPI%20HOMES%20LLC
VILLAS DE MIAMI LLC,2,"1151 NW 45 ST, 33127",375000,2025-10-03,2260 SW 16 AVE,"MIAMI, FL 33145",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=VILLAS%20DE%20MIAMI%20LLC
VIVA SFL LLC,2,"1853 NW 47 ST, 33142",368500,2025-12-08,2665 SW 83 TER,"PEMBROKE PINES, FL 33025",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=VIVA%20SFL%20LLC
WASHBURNS HJ LLC,2,"9961 SW 13 TER, 33174",572000,2026-05-13,9961 SW 13 TER,"MIAMI, FL 33174",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=WASHBURNS%20HJ%20LLC
WBH INVESTMENTS LLC,2,"2445 NW 162 TER, 33054",302000,2026-03-11,15476 NW 77 CT 408,"MIAMI LAKES, FL 33016",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=WBH%20INVESTMENTS%20LLC
WC INVESTMENT GROUP LLC,2,"2910 NW 175 ST, 33056",400000,2026-04-22,2319 N ANDREWS AVE,"FORT LAUDERDALE, FL 33311",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=WC%20INVESTMENT%20GROUP%20LLC
WESTHOLD CAPITAL LLC,2,"9600 N MIAMI AVE, 33150",975000,2026-04-30,114 NW 25 ST 115,"MIAMI, FL 33127",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=WESTHOLD%20CAPITAL%20LLC
WHITESHARK AUTO SALES CORP,2,"1861 NW 163 ST, 33054",325000,2026-03-12,701 E 32 ST,"HIALEAH, FL 33013",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=WHITESHARK%20AUTO%20SALES%20CORP
YOUR DREAM HOME INVESTMENTS,2,"4492 NW 180 ST, 33055",398700,2026-03-26,13190 SW 134 ST 107,"MIAMI, FL 33186",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=YOUR%20DREAM%20HOME%20INVESTMENTS
YRP1 LLC,2,"2421 NW 153 ST, 33054",535000,2026-03-11,9131 SW 142 PATH,"MIAMI, FL 33186",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=YRP1%20LLC
